date_collected,role_query,job_id,title,company,location,salary_min,salary_max,contract_type,category,description,posted_date,url
2026-08-22,Data Analyst,5823897527,Data Analyst-Healthcare,Persistent Systems,India,,,,IT Jobs,"About Position: We are looking for an experienced Data Analyst having strong knowledge on MS SQL, Healthcare Data Modeling & Integration, Statistics. You will help us build scalable, efficient cloud infrastructure. You’ll implement monitoring for automated system health checks. You’ll build our CI pipeline, and train and guide the team. Role: Data Analyst-Healthcare Location: All Persistent Location Experience: 6 to 10 Years Job Type: Full-Time Employment What You'll Do: Healthcare Data Analysi…",2026-08-01T17:31:37Z,https://www.adzuna.in/land/ad/5823897527?se=tinbdDme8RGRs_WofmWTvg&utm_medium=api&utm_source=13afedab&v=3A9E233874A61446A2B7B2354CE5320FC907F9E5
2026-08-22,Data Analyst,5843766527,Data Analyst III,Elsevier,"Chennai, Tamil Nadu",,,permanent,IT Jobs,"This job is with Elsevier, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Data Analyst III About Our Team The Content and Data Analytics team is part of DataOps, which is an integral part of Global Operations at Elsevier. We provide data analysis services, primarily using Databricks, and mostly serve product owners and data scientists of Elsevier's Research Data Platform. Our work contri…",2026-08-16T06:19:28Z,https://www.adzuna.in/land/ad/5843766527?se=tinbdDme8RGRs_WofmWTvg&utm_medium=api&utm_source=13afedab&v=3C97D12E47533C8A8CB1035D6AFC1DB520C8FF23
2026-08-22,Data Analyst,5794153830,Climate Data Analyst,MSCI,"Mumbai, Maharashtra",,,,Scientific & QA Jobs,"This job is with MSCI, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Your Team Responsibilities: The Climate Data and Content team is responsible for research and assessment of carbon footprint and business initiatives related to climate change for approximately 14,000 companies globally. Team's research is focused on climate-related metrics including carbon emissions, energy performanc…",2026-07-09T17:58:48Z,https://www.adzuna.in/land/ad/5794153830?se=tinbdDme8RGRs_WofmWTvg&utm_medium=api&utm_source=13afedab&v=7B509AA3D7E6FE5FA335FB9A8D3F519062CE1D7F
2026-08-22,Data Analyst,5842114982,Senior Data Analyst III,Elsevier,"Bangalore, Karnataka",,,,IT Jobs,"This job is with Elsevier, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Senior Data Analyst III Do you like working with data and analytics to gain insight to solve problems? Do you enjoy collaborating across teams to build and deliver products that make a difference? About the Team: Help shape the future of Elsevier's technology infrastructure by bringing our operational data to life.…",2026-08-15T00:04:09Z,https://www.adzuna.in/land/ad/5842114982?se=tinbdDme8RGRs_WofmWTvg&utm_medium=api&utm_source=13afedab&v=3263DA3568883D53BD2F53EE96E4EFA2F6B33C94
2026-08-22,Data Analyst,5846723036,Channel Specialist (Data Analyst),Danaher,"Mumbai, Maharashtra",,,,IT Jobs,"This job is with Danaher, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Bring more to life. Are you ready to accelerate your potential and make a real difference within life sciences, diagnostics and biotechnology? At Cytiva, one of Danaher’s 15 operating companies, our work saves lives—and we’re all united by a shared commitment to innovate for tangible impact. You’ll thrive in a cultu…",2026-08-18T18:03:32Z,https://www.adzuna.in/land/ad/5846723036?se=tinbdDme8RGRs_WofmWTvg&utm_medium=api&utm_source=13afedab&v=07C574FA6E72005FAA8A0973531B8616A32C2E01
2026-08-22,Data Analyst,5846723045,Senior Financial Data Analyst,Moody's,"Bangalore, Karnataka",,,,Accounting & Finance Jobs,"This job is with Moody's, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At Moody's, we unite the brightest minds to turn today’s risks into tomorrow’s opportunities. We do this by striving to create an inclusive environment where everyone feels welcome to be who they are—with the freedom to exchange ideas, think innovatively, and listen to each other and customers in meaningful ways. Mo…",2026-08-18T18:03:32Z,https://www.adzuna.in/land/ad/5846723045?se=tinbdDme8RGRs_WofmWTvg&utm_medium=api&utm_source=13afedab&v=6D2DCB9ECF4F9FEAD01DBE30C72ED5674DA12ECB
2026-08-22,Data Analyst,5785770935,"Data Analyst II, RM - AMER",Criteo,"Gurgaon, Haryana",,,,IT Jobs,"This job is with Criteo, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. What You'll Do: Criteo is in search of a passionate, highly motivated Data Analyst to join our Analytics team. You will turn business requests into data problems and tackle them in a scalable and efficient way, working together with analyst teams across Criteo locations. Aside from solving business challenges, this p…",2026-07-03T00:54:12Z,https://www.adzuna.in/land/ad/5785770935?se=tinbdDme8RGRs_WofmWTvg&utm_medium=api&utm_source=13afedab&v=1BC160B7A2846E376459F4140C423721A6048AF8
2026-08-22,Data Analyst,5843766857,IS Data Security - Senior Analyst,ABB,"Bangalore, Karnataka",,,,IT Jobs,"This job is with ABB, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At ABB, we help industries run leaner and cleaner—and every person here makes that happen. You’ll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and help run what runs the world. This Position reports to: IS Category Lead Arch. Workplace & UC Your role and responsibilities I…",2026-08-16T06:19:54Z,https://www.adzuna.in/land/ad/5843766857?se=tinbdDme8RGRs_WofmWTvg&utm_medium=api&utm_source=13afedab&v=01FE278DE8610A415ACA5BDAD4540C0D25350285
2026-08-22,Data Analyst,5830416840,Technical Delivery Team Manager,Straive,"Chennai, Tamil Nadu",,,,IT Jobs,"Summary: We are seeking a seasoned Delivery Manager with a deep background in Real-World Data (RWD) and healthcare/life sciences analytics. In this role, you will act as the primary Single Point of Contact (SPOC) for client stakeholders, managing key account delivery while driving technical strategy. You will bridge the gap between business stakeholders and technical teams, providing hands-on leadership for AI and Data Analyst functions within the account Key Responsibilities: Account & Deliver…",2026-08-06T17:50:30Z,https://www.adzuna.in/land/ad/5830416840?se=tinbdDme8RGRs_WofmWTvg&utm_medium=api&utm_source=13afedab&v=3F369A8A30434D0C6AC8B4804862702C77A021DF
2026-08-22,Data Analyst,5821999967,"Senior Analyst, Data Governance (Corp Functions)",Invesco,"Hyderabad, Telangana",,,contract,IT Jobs,"This job is with Invesco, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. As one of the world's leading independent global investment firms, Invesco is dedicated to rethinking possibilities for our clients. By delivering the combined power of our distinctive investment management capabilities, we provide a wide range of investment strategies and vehicles to our clients around the world. I…",2026-07-31T09:50:12Z,https://www.adzuna.in/land/ad/5821999967?se=tinbdDme8RGRs_WofmWTvg&utm_medium=api&utm_source=13afedab&v=6F11D5119135EC6C5D7717093A60726CFCD3AA9A
